,Unnamed: 0,graph,cnmr,image,smiles,fingerprint
0,0,000000234.pickle,000000234.csv,000000234.png,000000234.txt,000000234.pkl
1,1,000002151.pickle,000002151.csv,000002151.png,000002151.txt,000002151.pkl
2,2,000002189.pickle,000002189.csv,000002189.png,000002189.txt,000002189.pkl
3,3,000002190.pickle,000002190.csv,000002190.png,000002190.txt,000002190.pkl
4,4,000002191.pickle,000002191.csv,000002191.png,000002191.txt,000002191.pkl
5,5,000002192.pickle,000002192.csv,000002192.png,000002192.txt,000002192.pkl
6,6,000002193.pickle,000002193.csv,000002193.png,000002193.txt,000002193.pkl
7,7,000002194.pickle,000002194.csv,000002194.png,000002194.txt,000002194.pkl
8,8,000002195.pickle,000002195.csv,000002195.png,000002195.txt,000002195.pkl
9,9,000002196.pickle,000002196.csv,000002196.png,000002196.txt,000002196.pkl
10,10,000002197.pickle,000002197.csv,000002197.png,000002197.txt,000002197.pkl
11,11,000002198.pickle,000002198.csv,000002198.png,000002198.txt,000002198.pkl
12,12,000002200.pickle,000002200.csv,000002200.png,000002200.txt,000002200.pkl
13,13,000002201.pickle,000002201.csv,000002201.png,000002201.txt,000002201.pkl
14,14,000002202.pickle,000002202.csv,000002202.png,000002202.txt,000002202.pkl
15,15,000002203.pickle,000002203.csv,000002203.png,000002203.txt,000002203.pkl
16,16,000002204.pickle,000002204.csv,000002204.png,000002204.txt,000002204.pkl
17,17,000002205.pickle,000002205.csv,000002205.png,000002205.txt,000002205.pkl
18,18,000002206.pickle,000002206.csv,000002206.png,000002206.txt,000002206.pkl
19,19,000002207.pickle,000002207.csv,000002207.png,000002207.txt,000002207.pkl
20,20,000002208.pickle,000002208.csv,000002208.png,000002208.txt,000002208.pkl
21,21,000002209.pickle,000002209.csv,000002209.png,000002209.txt,000002209.pkl
22,22,000002210.pickle,000002210.csv,000002210.png,000002210.txt,000002210.pkl
23,23,000002211.pickle,000002211.csv,000002211.png,000002211.txt,000002211.pkl
24,24,000002212.pickle,000002212.csv,000002212.png,000002212.txt,000002212.pkl
25,25,000002214.pickle,000002214.csv,000002214.png,000002214.txt,000002214.pkl
26,26,000002215.pickle,000002215.csv,000002215.png,000002215.txt,000002215.pkl
27,27,000002216.pickle,000002216.csv,000002216.png,000002216.txt,000002216.pkl
28,28,000002218.pickle,000002218.csv,000002218.png,000002218.txt,000002218.pkl
29,29,000002220.pickle,000002220.csv,000002220.png,000002220.txt,000002220.pkl
30,30,000002222.pickle,000002222.csv,000002222.png,000002222.txt,000002222.pkl
31,31,000002224.pickle,000002224.csv,000002224.png,000002224.txt,000002224.pkl
32,32,000002225.pickle,000002225.csv,000002225.png,000002225.txt,000002225.pkl
33,33,000002227.pickle,000002227.csv,000002227.png,000002227.txt,000002227.pkl
34,34,000002228.pickle,000002228.csv,000002228.png,000002228.txt,000002228.pkl
35,35,000002229.pickle,000002229.csv,000002229.png,000002229.txt,000002229.pkl
36,36,000002230.pickle,000002230.csv,000002230.png,000002230.txt,000002230.pkl
37,37,000002231.pickle,000002231.csv,000002231.png,000002231.txt,000002231.pkl
38,38,000002232.pickle,000002232.csv,000002232.png,000002232.txt,000002232.pkl
39,39,000002233.pickle,000002233.csv,000002233.png,000002233.txt,000002233.pkl
40,40,000002234.pickle,000002234.csv,000002234.png,000002234.txt,000002234.pkl
41,41,000002235.pickle,000002235.csv,000002235.png,000002235.txt,000002235.pkl
42,42,000002236.pickle,000002236.csv,000002236.png,000002236.txt,000002236.pkl
43,43,000002237.pickle,000002237.csv,000002237.png,000002237.txt,000002237.pkl
44,44,000002238.pickle,000002238.csv,000002238.png,000002238.txt,000002238.pkl
45,45,000002239.pickle,000002239.csv,000002239.png,000002239.txt,000002239.pkl
46,46,000002240.pickle,000002240.csv,000002240.png,000002240.txt,000002240.pkl
47,47,000002241.pickle,000002241.csv,000002241.png,000002241.txt,000002241.pkl
48,48,000002242.pickle,000002242.csv,000002242.png,000002242.txt,000002242.pkl
49,49,000002243.pickle,000002243.csv,000002243.png,000002243.txt,000002243.pkl
50,50,000002244.pickle,000002244.csv,000002244.png,000002244.txt,000002244.pkl
51,51,000002245.pickle,000002245.csv,000002245.png,000002245.txt,000002245.pkl
52,52,000002246.pickle,000002246.csv,000002246.png,000002246.txt,000002246.pkl
53,53,000002247.pickle,000002247.csv,000002247.png,000002247.txt,000002247.pkl
54,54,000002248.pickle,000002248.csv,000002248.png,000002248.txt,000002248.pkl
55,55,000002249.pickle,000002249.csv,000002249.png,000002249.txt,000002249.pkl
56,56,000002250.pickle,000002250.csv,000002250.png,000002250.txt,000002250.pkl
57,57,000002251.pickle,000002251.csv,000002251.png,000002251.txt,000002251.pkl
58,58,000002252.pickle,000002252.csv,000002252.png,000002252.txt,000002252.pkl
59,59,000002253.pickle,000002253.csv,000002253.png,000002253.txt,000002253.pkl
60,60,000002254.pickle,000002254.csv,000002254.png,000002254.txt,000002254.pkl
61,61,000002255.pickle,000002255.csv,000002255.png,000002255.txt,000002255.pkl
62,62,000002256.pickle,000002256.csv,000002256.png,000002256.txt,000002256.pkl
63,63,000002257.pickle,000002257.csv,000002257.png,000002257.txt,000002257.pkl
64,64,000002258.pickle,000002258.csv,000002258.png,000002258.txt,000002258.pkl
65,65,000002259.pickle,000002259.csv,000002259.png,000002259.txt,000002259.pkl
66,66,000002260.pickle,000002260.csv,000002260.png,000002260.txt,000002260.pkl
67,67,000002261.pickle,000002261.csv,000002261.png,000002261.txt,000002261.pkl
68,68,000002262.pickle,000002262.csv,000002262.png,000002262.txt,000002262.pkl
69,69,000002263.pickle,000002263.csv,000002263.png,000002263.txt,000002263.pkl
70,70,000002264.pickle,000002264.csv,000002264.png,000002264.txt,000002264.pkl
71,71,000002266.pickle,000002266.csv,000002266.png,000002266.txt,000002266.pkl
72,72,000002267.pickle,000002267.csv,000002267.png,000002267.txt,000002267.pkl
73,73,000002269.pickle,000002269.csv,000002269.png,000002269.txt,000002269.pkl
74,74,000002270.pickle,000002270.csv,000002270.png,000002270.txt,000002270.pkl
75,75,000002271.pickle,000002271.csv,000002271.png,000002271.txt,000002271.pkl
76,76,000002273.pickle,000002273.csv,000002273.png,000002273.txt,000002273.pkl
77,77,000002276.pickle,000002276.csv,000002276.png,000002276.txt,000002276.pkl
78,78,000002277.pickle,000002277.csv,000002277.png,000002277.txt,000002277.pkl
79,79,000002278.pickle,000002278.csv,000002278.png,000002278.txt,000002278.pkl
80,80,000002279.pickle,000002279.csv,000002279.png,000002279.txt,000002279.pkl
81,81,000002280.pickle,000002280.csv,000002280.png,000002280.txt,000002280.pkl
82,82,000002281.pickle,000002281.csv,000002281.png,000002281.txt,000002281.pkl
83,83,000002282.pickle,000002282.csv,000002282.png,000002282.txt,000002282.pkl
84,84,000002283.pickle,000002283.csv,000002283.png,000002283.txt,000002283.pkl
85,85,000002284.pickle,000002284.csv,000002284.png,000002284.txt,000002284.pkl
86,86,000002286.pickle,000002286.csv,000002286.png,000002286.txt,000002286.pkl
87,87,000002288.pickle,000002288.csv,000002288.png,000002288.txt,000002288.pkl
88,88,000002289.pickle,000002289.csv,000002289.png,000002289.txt,000002289.pkl
89,89,000002290.pickle,000002290.csv,000002290.png,000002290.txt,000002290.pkl
90,90,000002291.pickle,000002291.csv,000002291.png,000002291.txt,000002291.pkl
91,91,000002292.pickle,000002292.csv,000002292.png,000002292.txt,000002292.pkl
92,92,000002293.pickle,000002293.csv,000002293.png,000002293.txt,000002293.pkl
93,93,000002294.pickle,000002294.csv,000002294.png,000002294.txt,000002294.pkl
94,94,000002295.pickle,000002295.csv,000002295.png,000002295.txt,000002295.pkl
95,95,000002296.pickle,000002296.csv,000002296.png,000002296.txt,000002296.pkl
96,96,000002297.pickle,000002297.csv,000002297.png,000002297.txt,000002297.pkl
97,97,000002298.pickle,000002298.csv,000002298.png,000002298.txt,000002298.pkl
98,98,000002299.pickle,000002299.csv,000002299.png,000002299.txt,000002299.pkl
99,99,000002300.pickle,000002300.csv,000002300.png,000002300.txt,000002300.pkl
100,100,000002301.pickle,000002301.csv,000002301.png,000002301.txt,000002301.pkl
101,101,000002302.pickle,000002302.csv,000002302.png,000002302.txt,000002302.pkl
102,102,000002303.pickle,000002303.csv,000002303.png,000002303.txt,000002303.pkl
103,103,000002304.pickle,000002304.csv,000002304.png,000002304.txt,000002304.pkl
104,104,000002305.pickle,000002305.csv,000002305.png,000002305.txt,000002305.pkl
105,105,000002306.pickle,000002306.csv,000002306.png,000002306.txt,000002306.pkl
106,106,000002307.pickle,000002307.csv,000002307.png,000002307.txt,000002307.pkl
107,107,000002308.pickle,000002308.csv,000002308.png,000002308.txt,000002308.pkl
108,108,000002309.pickle,000002309.csv,000002309.png,000002309.txt,000002309.pkl
109,109,000002310.pickle,000002310.csv,000002310.png,000002310.txt,000002310.pkl
110,110,000002311.pickle,000002311.csv,000002311.png,000002311.txt,000002311.pkl
111,111,000002312.pickle,000002312.csv,000002312.png,000002312.txt,000002312.pkl
112,112,000002313.pickle,000002313.csv,000002313.png,000002313.txt,000002313.pkl
113,113,000002314.pickle,000002314.csv,000002314.png,000002314.txt,000002314.pkl
114,114,000002315.pickle,000002315.csv,000002315.png,000002315.txt,000002315.pkl
115,115,000002316.pickle,000002316.csv,000002316.png,000002316.txt,000002316.pkl
116,116,000002317.pickle,000002317.csv,000002317.png,000002317.txt,000002317.pkl
117,117,000002318.pickle,000002318.csv,000002318.png,000002318.txt,000002318.pkl
118,118,000002319.pickle,000002319.csv,000002319.png,000002319.txt,000002319.pkl
119,119,000002320.pickle,000002320.csv,000002320.png,000002320.txt,000002320.pkl
120,120,000002321.pickle,000002321.csv,000002321.png,000002321.txt,000002321.pkl
121,121,000002322.pickle,000002322.csv,000002322.png,000002322.txt,000002322.pkl
122,122,000002323.pickle,000002323.csv,000002323.png,000002323.txt,000002323.pkl
123,123,000002324.pickle,000002324.csv,000002324.png,000002324.txt,000002324.pkl
124,124,000002325.pickle,000002325.csv,000002325.png,000002325.txt,000002325.pkl
125,125,000002326.pickle,000002326.csv,000002326.png,000002326.txt,000002326.pkl
126,126,000002327.pickle,000002327.csv,000002327.png,000002327.txt,000002327.pkl
127,127,000002328.pickle,000002328.csv,000002328.png,000002328.txt,000002328.pkl
128,128,000002329.pickle,000002329.csv,000002329.png,000002329.txt,000002329.pkl
129,129,000002330.pickle,000002330.csv,000002330.png,000002330.txt,000002330.pkl
130,130,000002332.pickle,000002332.csv,000002332.png,000002332.txt,000002332.pkl
131,131,000002333.pickle,000002333.csv,000002333.png,000002333.txt,000002333.pkl
132,132,000002334.pickle,000002334.csv,000002334.png,000002334.txt,000002334.pkl
133,133,000002336.pickle,000002336.csv,000002336.png,000002336.txt,000002336.pkl
134,134,000002337.pickle,000002337.csv,000002337.png,000002337.txt,000002337.pkl
135,135,000002338.pickle,000002338.csv,000002338.png,000002338.txt,000002338.pkl
136,136,000002339.pickle,000002339.csv,000002339.png,000002339.txt,000002339.pkl
137,137,000002340.pickle,000002340.csv,000002340.png,000002340.txt,000002340.pkl
138,138,000002341.pickle,000002341.csv,000002341.png,000002341.txt,000002341.pkl
139,139,000002342.pickle,000002342.csv,000002342.png,000002342.txt,000002342.pkl
140,140,000002343.pickle,000002343.csv,000002343.png,000002343.txt,000002343.pkl
141,141,000002344.pickle,000002344.csv,000002344.png,000002344.txt,000002344.pkl
142,142,000002345.pickle,000002345.csv,000002345.png,000002345.txt,000002345.pkl
143,143,000002346.pickle,000002346.csv,000002346.png,000002346.txt,000002346.pkl
144,144,000002347.pickle,000002347.csv,000002347.png,000002347.txt,000002347.pkl
145,145,000002348.pickle,000002348.csv,000002348.png,000002348.txt,000002348.pkl
146,146,000002349.pickle,000002349.csv,000002349.png,000002349.txt,000002349.pkl
147,147,000002350.pickle,000002350.csv,000002350.png,000002350.txt,000002350.pkl
148,148,000002351.pickle,000002351.csv,000002351.png,000002351.txt,000002351.pkl
149,149,000002352.pickle,000002352.csv,000002352.png,000002352.txt,000002352.pkl
150,150,000002353.pickle,000002353.csv,000002353.png,000002353.txt,000002353.pkl
151,151,000002354.pickle,000002354.csv,000002354.png,000002354.txt,000002354.pkl
152,152,000002355.pickle,000002355.csv,000002355.png,000002355.txt,000002355.pkl
153,153,000002356.pickle,000002356.csv,000002356.png,000002356.txt,000002356.pkl
154,154,000002357.pickle,000002357.csv,000002357.png,000002357.txt,000002357.pkl
155,155,000002358.pickle,000002358.csv,000002358.png,000002358.txt,000002358.pkl
156,156,000002359.pickle,000002359.csv,000002359.png,000002359.txt,000002359.pkl
157,157,000002360.pickle,000002360.csv,000002360.png,000002360.txt,000002360.pkl
158,158,000002361.pickle,000002361.csv,000002361.png,000002361.txt,000002361.pkl
159,159,000002362.pickle,000002362.csv,000002362.png,000002362.txt,000002362.pkl
160,160,000002363.pickle,000002363.csv,000002363.png,000002363.txt,000002363.pkl
161,161,000002365.pickle,000002365.csv,000002365.png,000002365.txt,000002365.pkl
162,162,000002366.pickle,000002366.csv,000002366.png,000002366.txt,000002366.pkl
163,163,000002367.pickle,000002367.csv,000002367.png,000002367.txt,000002367.pkl
